Gene,Module,Log2FC,Adj_PValue,Regulation
SLC45A2,module_6,4.510016230505425,0.0036645241834288235,Up
TMEM47,module_6,1.9329599504318025,1.1780524787533414e-07,Up
ITGB3,module_6,4.014906306205586,0.028723481892121785,Up
IL31RA,module_6,4.4980013941241825,0.017033086869306158,Up
HBA2,module_6,-4.726878610295954,0.0034093309329419003,Down
FXYD6,module_6,1.0977726935128054,0.005283939879140332,Up
STC2,module_6,-2.1281587905203216,0.04688115586311813,Down
EFEMP2,module_6,1.610732822290837,0.030216003516314253,Up
TMT1A,module_6,1.8868724634836125,0.0049139999946375,Up
GRP,module_6,4.626178830648424,0.0005835597906379747,Up
SST,module_6,10.08866179305415,1.8292410574905811e-06,Up
ZCCHC12,module_6,1.0471763236028842,0.013801025146975756,Up
GREM2,module_6,1.6636474364930023,0.012213387912149763,Up
PLAAT5,module_6,5.29062319708035,0.0010859709855048103,Up
PSMB8,module_6,1.8473918403219547,0.030884074668526322,Up
GPR62,module_6,2.0505144050931445,0.03445806235898599,Up
PLPPR5,module_6,3.0709683211920447,0.0024578051231402584,Up
CACNA2D3,module_6,1.6588717132971262,8.722953119939398e-05,Up
RNASE4,module_6,3.182118771298458,0.029278723944590496,Up
LRAT,module_6,3.9935836417287436,0.009932702416980932,Up
PPP1R17,module_6,3.950274208428525,0.009324957567575143,Up
CENPVL3,module_6,1.3994172867032268,0.00016103613589538187,Up
MARCHF3,module_6,3.334658248823026,0.0007714283130193203,Up
GABRG1,module_6,2.181356473608932,0.0013029345257731622,Up
NREP,module_6,-1.174708178477217,0.03659000507876875,Down
DGKB,module_6,1.5543178683805041,0.006673335690610032,Up
MMP11,module_6,-3.452237482620438,0.030884074668526322,Down
CTNNA3,module_6,2.6367859798813646,0.0036645241834288235,Up
STK10,module_6,1.43463217315572,0.030702613473108414,Up
BMP3,module_6,3.6838343783503533,0.003650403873837464,Up
GSTT2B,module_6,4.279536549602044,0.0025231500701372927,Up
CPAMD8,module_6,1.5448762906096662,0.022267671285376975,Up
GSTM2,module_6,1.8755650351141355,0.0038852349123118845,Up
BTBD17,module_6,3.5073686971642357,0.03247655672440468,Up
GNG4,module_6,2.023468385588396,0.01768978885583084,Up
GNG5,module_6,1.451756810509544,0.024517424733712375,Up
HTR2C,module_6,3.8685498892497168,0.03901672495564467,Up
TEX15,module_6,1.2855620411715472,0.0033225188075078744,Up
CDH20,module_6,2.346903622621186,0.027116803637310113,Up
NECAB1,module_6,1.4457317867947268,0.0069949478274618955,Up
CXCL16,module_6,2.0653347336887484,0.014890525433130778,Up
PLBD1,module_6,3.267302706360028,0.006765418260086795,Up
RND2,module_6,1.482280635609409,0.000763852037020074,Up
FOXP2,module_6,1.1062556145300533,0.048500732394289835,Up
CNR1,module_6,2.550274096755567,0.0003304057754500393,Up
SLIT3,module_6,3.4038386066034776,6.7503410431985025e-06,Up
SLC26A11,module_6,1.041309471067005,0.02210482200468431,Up
FCGRT,module_6,3.103059274010709,0.0043409141299135855,Up
ANKRD34C,module_6,-1.380228878292404,0.0002449635309892626,Down
NETO1,module_6,2.6483171870852704,0.02691096589929944,Up
SLC4A2,module_6,-1.8452481044872309,0.02315420232183282,Down
UNC13C,module_6,-1.3136614552117094,0.011113292803774181,Down
ZC3HAV1,module_6,1.4462893646519974,0.00041034484222930896,Up
AKR1C1,module_6,1.223524174714669,0.021531130932926013,Up
ASPA,module_6,2.412098448567228,0.0012866780540150035,Up
OSGIN1,module_6,-2.7306146939416993,0.033637716222503916,Down
JAK3,module_6,-1.2173594601973883,0.04322784359604493,Down
SLC25A10,module_6,-1.5703469847882103,0.0004181956947589185,Down
EVI2A,module_6,1.0926063702956865,0.04021130653601644,Up
AP1S2,module_6,1.2015879555238573,0.0004023606997122889,Up
NKX2-2,module_6,4.438418245024513,0.03962493343022024,Up
UNC13D,module_6,4.173686825833291,0.04464052129972044,Up
LMX1A,module_6,1.6671689227667252,0.0004858860358708418,Up
RAMP2,module_6,1.474061483505073,0.00624410267216802,Up
PAPPA,module_6,1.49940088659655,9.827529245162321e-05,Up
PARD3B,module_6,2.4739273415078027,0.002315749739407466,Up
TMEM125,module_6,1.6321622722492253,0.024528347413687347,Up
PLCG2,module_6,1.7166622204901818,0.03980319733228411,Up
HEBP1,module_6,1.4799814791484605,0.001360487719477979,Up
HSPA6,module_6,7.252449032510777,0.0007714283130193203,Up
STC1,module_6,3.022656545818174,7.806620763386138e-11,Up
RGCC,module_6,1.5106449219869065,0.020865536037846272,Up
VAMP3,module_6,1.127436350391139,0.015673668127691102,Up
GPNMB,module_6,2.4379705025551,0.0006058654580154366,Up
C1QL1,module_6,2.4441668535673124,0.02774654427257587,Up
VANGL2,module_6,2.477188055802007,0.0014128631677085518,Up
PROM1,module_6,4.024794535845623,0.017121254733936556,Up
PYGL,module_6,-1.5430494763405407,0.020232697936799885,Down
GIPR,module_6,2.760228897399032,0.005488661754245929,Up
MT1H,module_6,3.071958947142037,0.0007714283130193203,Up
RELN,module_6,3.256404718865623,0.023375534800338462,Up
C22orf42,module_6,2.428861810909539,0.022267671285376975,Up
TRIP4,module_6,1.092131467407515,0.016735740017237506,Up
CHIT1,module_6,7.129067049695683,4.794170849673406e-05,Up
ADCYAP1,module_6,3.1274713624829533,7.379061163546468e-05,Up
MYADML2,module_6,-1.4093418437765788,0.018494172269032584,Down
CXCR4,module_6,4.083322595908537,0.0004879562639291025,Up
MS4A4A,module_6,4.005180660974288,0.014537196547529408,Up
VAV1,module_6,3.019549419865586,0.007697412236106639,Up
PRMT8,module_6,-1.0411156975358808,0.009324957567575143,Down
SERTM2,module_6,5.20591808098423,0.021125484797917246,Up
APOE,module_6,1.5593764259718121,0.004978283170585944,Up
DUOX1,module_6,3.175627432006646,0.005488192920941895,Up
PGM5,module_6,2.2220638335617795,0.029278723944590496,Up
GSTM5,module_6,2.731793759350052,0.017121254733936556,Up
CLEC7A,module_6,2.8777870274725164,0.03423374801355049,Up
SOX6,module_6,-1.4518693927944653,0.015658637023216307,Down
CCL3,module_6,2.265731106548586,0.008501285918682964,Up
PACRGL,module_6,1.2675091113777917,2.4153364542541694e-08,Up
TEAD1,module_6,1.4575772064705796,0.0009668007583511839,Up
GLIPR1L2,module_6,2.6398459189149643,0.04464052129972044,Up
BMP2,module_6,1.1717613695866012,0.020772761562247555,Up
