Gene,Module,Log2FC,Adj_PValue,Regulation,N_CoExpressed_Genes,Mean_TOM_Score,Max_TOM_Score,Module_Membership
CYP4V2,module_6,1.1786694557681676,0.012213387912149763,Up,40,0.11833288046144215,0.16349141611884524,-0.36933028084675096
N4BP2L1,module_6,1.4967621356994294,0.002546047412945289,Up,40,0.11672167574759602,0.14800136026380573,-0.4874639859350472
ENOSF1,module_6,1.7090573188415066,0.003031512924272335,Up,40,0.11557016192366673,0.15356047022861788,-0.2015906524126775
GRIN2A,module_6,1.097080453112396,0.0050797180844885,Up,39,0.12534850718215723,0.17611745659528164,-0.3363789459057948
CLEC5A,module_6,6.047858849439344,0.004836785924173798,Up,39,0.1224387073068428,0.15178944876712078,-0.2329035646866788
TEAD1,module_6,1.4575772064705796,0.0009668007583511839,Up,39,0.1201166322613027,0.17341965917209562,-0.31060004928464474
GJB6,module_6,2.3108047154909497,0.0009082168162009239,Up,39,0.11893920498608039,0.15281444507509173,-0.42267054776733637
FXYD1,module_6,1.496265878193952,0.04945271810838185,Up,38,0.1272819929158104,0.1772311608546911,-0.5532109640032825
IRF8,module_6,4.792530066418071,0.03769542807367494,Up,38,0.12251634442195325,0.16359709698732658,-0.3212924134778577
SLC45A2,module_6,4.510016230505425,0.0036645241834288235,Up,38,0.12103229372156123,0.14930899990880037,-0.2458785887818885
PLPPR5,module_6,3.0709683211920447,0.0024578051231402584,Up,38,0.11530781701905793,0.14166609564788005,-0.036122662001197965
RUNX1T1,module_6,1.140826103625171,0.0024578051231402584,Up,37,0.12035711033624266,0.17441174035873316,-0.29802630610512426
ZC3HAV1,module_6,1.4462893646519974,0.00041034484222930896,Up,37,0.11537860655643624,0.14623075089525492,-0.3337918929251775
HHATL,module_6,2.3725588178138577,6.574591090637406e-06,Up,37,0.11280140019022288,0.13291033430448448,-0.2999480660644482
PRL,module_6,-4.652942567883155,2.114368669388515e-05,Down,36,0.1235377970513402,0.1583112064844408,0.2642664727266881
HLA-DRB1,module_6,2.865377746270748,0.005547652520652314,Up,36,0.12310600986264045,0.16441800207812396,-0.336400467941167
CNFN,module_6,2.1442056817104187,0.04614032721941002,Up,36,0.12140405266026237,0.1772933866448992,0.29640950877677963
CXCR4,module_6,4.083322595908537,0.0004879562639291025,Up,36,0.11470946173685544,0.14653885127726946,-0.29176438714300723
UNC5D,module_6,2.868085730551949,0.0004023606997122889,Up,36,0.11373843852281389,0.14078709443125542,0.011203105657188343
EPB41L2,module_6,1.617014735138113,0.0018075137060304361,Up,36,0.11371111250972582,0.1444209786408989,-0.35476949844393135
SPDEF,module_6,-2.4204916456924814,0.004666046363615512,Down,35,0.13030904897470852,0.2425807803620796,-0.5387363798286589
CLDN10,module_6,2.3383359629976663,0.006765418260086795,Up,35,0.12237541215747443,0.14648805269809956,-0.2915786537902248
KCNJ8,module_6,5.993474615438727,7.978123352080635e-08,Up,35,0.119056754510127,0.16216855313072617,0.09990320668906484
WNT3,module_6,-1.1272781171811015,2.155998291313475e-05,Down,35,0.11859685533371664,0.14661915286574503,-0.029043083384065818
MBNL3,module_6,2.1671488819854936,0.00046939336175045123,Up,35,0.11338224736004461,0.14053394206739783,-0.2204846043217683
NETO1,module_6,2.6483171870852704,0.02691096589929944,Up,34,0.1218930391463221,0.17500697239302948,-0.4382529267999618
HMGN2,module_6,1.1029386808307409,0.04203010595431559,Up,34,0.12144322950151022,0.1818803912461615,0.44922889302047164
CENPVL3,module_6,1.3994172867032268,0.00016103613589538187,Up,34,0.12096937342580934,0.15540288640716926,-0.11418768126917997
TMEM176A,module_6,1.8703641188238953,0.035002696471420396,Up,34,0.12022464675179212,0.1631211313856214,-0.39418373285456226
MARCHF3,module_6,3.334658248823026,0.0007714283130193203,Up,34,0.11787838294895972,0.16785353682810675,-0.02869350346585589
MUC3A,module_6,2.335646344446282,0.01139498549843772,Up,34,0.11632454822374705,0.14823022535243344,-0.5697351218011271
PNMT,module_6,2.9761169733674304,0.00016181223736119458,Up,34,0.11419977078449838,0.1484321557243691,-0.19708152703057488
VAT1L,module_6,1.1683437138304391,2.2514434676977645e-06,Up,34,0.11244241902537483,0.15927239933910503,0.20578058981740124
ANTXR2,module_6,2.5723360687461194,2.781395005994914e-05,Up,34,0.11165055762986997,0.13697227342114177,-0.13578560446346985
SCN1A,module_6,1.4948068115885127,0.023375534800338462,Up,33,0.12329893843811097,0.17674420038810598,-0.36305091631208136
JAM2,module_6,2.17858886111523,0.001684508362837574,Up,33,0.12048444126152061,0.15415363019449416,-0.23410286387877594
NKAIN4,module_6,1.8542521851665341,0.0008757979676174284,Up,33,0.11188481892866585,0.14303990676762943,0.1045806780338912
GSTM1,module_6,2.1507712676121544,0.009925169528582519,Up,32,0.12302467778018177,0.16820882667523654,-0.20381837660953436
KCNC2,module_6,3.325319579733151,3.556697177822418e-05,Up,32,0.12237139127490582,0.15085220708631267,0.29133618982459814
IL34,module_6,-1.4300242239425907,0.026917087238204945,Down,32,0.12194063493726684,0.15475989304718143,-0.3675207355994227
CACNA1G,module_6,-1.0259483509391687,0.005815320579483231,Down,32,0.12071840630491111,0.20187936053009445,-0.40966575816217776
GPR149,module_6,1.3467042162884821,1.0043937760101983e-07,Up,32,0.11164049545081978,0.14783667819632687,0.018781537298872747
GSTM5,module_6,2.731793759350052,0.017121254733936556,Up,31,0.12228478710244796,0.1563164330167959,0.2947405162059459
TCF12,module_6,1.2839398267169164,0.0068160514266317135,Up,31,0.11801489787013811,0.15801801386560355,-0.5115254220039099
KCNIP4,module_6,1.660959459373938,8.514608385826583e-10,Up,31,0.11733676845829734,0.15015766456805374,-0.0414281114823351
NECAB2,module_6,2.5652940665312287,0.0008569970007543805,Up,31,0.11716109237532063,0.14072241705015023,-0.11207622694738562
CD33,module_6,5.876788661109982,0.022313312009168994,Up,30,0.12470307609695672,0.17125120559983592,-0.41191035803141457
FXYD6,module_6,1.0977726935128054,0.005283939879140332,Up,30,0.12380275148070934,0.16759508351957378,-0.15885256238715295
SELENOP,module_6,1.8068647443319341,0.005698724516738252,Up,30,0.12324427110034955,0.16907676721621387,-0.42232778341467
PPP1R1B,module_6,1.565695664452098,0.0075614442825517915,Up,30,0.12258921960665121,0.1469959631026095,-0.4744326370856004
NRP2,module_6,2.021944414044472,0.0037647588958153195,Up,30,0.12169946638777161,0.17071931092509063,0.07353211994867914
ZNRF3,module_6,1.7991181625360462,0.03788841317408119,Up,30,0.12119905423214113,0.15436544780060205,-0.2243007580110403
VWA5B1,module_6,3.6831323521401766,0.0005701483676906316,Up,30,0.11937754875451541,0.15458296257172943,-0.16416070501772098
MAOA,module_6,1.6517259931781947,0.0001572648802898124,Up,30,0.11814104557868683,0.15459778652141043,-0.28609926029202287
FCGRT,module_6,3.103059274010709,0.0043409141299135855,Up,30,0.11417556049878387,0.15805806986837592,-0.05692842169007137
KCNJ9,module_6,-1.0971541883219125,0.0004023606997122889,Down,30,0.11173665335556632,0.14026677713178684,-0.17063702247136492
TTYH1,module_6,1.4343614103634987,0.019435353161622912,Up,29,0.12801951963775976,0.16093258177466027,-0.3843792186454146
BCAS1,module_6,1.4288721689278197,0.035861086808759,Up,29,0.12612506011186647,0.17491204754332423,-0.537758526110228
PRDM16,module_6,2.6236353756824196,0.04614032721941002,Up,29,0.12067426412601638,0.16712133110671823,-0.4260867610273247
MUC16,module_6,2.978755038965572,0.0296092305288791,Up,29,0.12054204556304281,0.1614005506583789,-0.5307675949361853
SLCO1A2,module_6,2.6092722031055775,0.0006149324434596662,Up,29,0.1120814796721755,0.13971859592520405,-0.20655950313006433
CYP27A1,module_6,1.8074114899013864,0.009925169528582519,Up,29,0.10942984695343691,0.14948177152769,-0.46708760284879486
LRAT,module_6,3.9935836417287436,0.009932702416980932,Up,28,0.11741266911230572,0.1512634804258845,-0.4457782214194637
TRIL,module_6,1.2465069605015568,0.014045104010579365,Up,28,0.11512283122436802,0.1433732957478047,-0.45659768390029587
EFEMP2,module_6,1.610732822290837,0.030216003516314253,Up,28,0.11288281318515737,0.14721981139448673,-0.3065095295908176
ITGAX,module_6,3.391017640798516,0.04203010595431559,Up,28,0.11039588639159549,0.13636579431156975,-0.1655002305275965
FOXP2,module_6,1.1062556145300533,0.048500732394289835,Up,27,0.13330156821601757,0.17140975231685987,-0.5881274731493132
NKX2-2,module_6,4.438418245024513,0.03962493343022024,Up,27,0.12300117207298343,0.16087835610926854,-0.3811618816252631
PAX6,module_6,2.0146325384972372,0.04614032721941002,Up,27,0.12103341510559242,0.14434138379385594,-0.24008541501258243
TNS3,module_6,1.7981730022988536,0.018788753960473623,Up,27,0.11589221147856436,0.14407019682595557,-0.2852291342582438
SLC37A2,module_6,5.8582991084907015,0.0010222393588065549,Up,27,0.11390875738420794,0.1484209675115757,0.12699937528890787
ABCG2,module_6,1.8108517211782456,0.018006246384195655,Up,26,0.12504534176649384,0.1566926569680566,-0.25375102062696
MSR1,module_6,3.2440369393654334,0.04464052129972044,Up,26,0.11950798351205451,0.16611781511825344,-0.5100747751534696
CD99,module_6,2.0961654712169953,4.10102256336274e-05,Up,26,0.1176865048179022,0.16614211384224495,0.013103532775237875
KCNK3,module_6,2.6415923691684435,0.02041450380672668,Up,26,0.1173963422838301,0.15183628989142794,-0.0646213785398218
SPINT1,module_6,4.449819381473745,1.459840563955259e-05,Up,26,0.11730111426727682,0.13650328747333337,0.2002555776741661
CALB1,module_6,3.651563756535557,0.0012196821158670195,Up,26,0.1164359653434969,0.14052170321746835,0.1427603561449689
DCHS1,module_6,2.054955001970082,0.022367728300137637,Up,26,0.11418390404053147,0.13707022036676297,-0.2894681025527299
CD84,module_6,3.043736027131189,0.02033362530444922,Up,26,0.11267657108326888,0.13666400440969897,0.1889748112497631
IL31RA,module_6,4.4980013941241825,0.017033086869306158,Up,25,0.12030364569712974,0.15372480927228152,-0.36806668941066384
APOBEC4,module_6,4.829506265412543,0.04634562074960986,Up,25,0.11659246249104767,0.15635495525081947,-0.0009219834112843689
PRIMA1,module_6,1.1918279979862922,0.04868003552748596,Up,25,0.1156844033071283,0.14186255408243814,-0.3413949099554635
PRKG2,module_6,2.0362072635456374,0.02774654427257587,Up,25,0.1147406167003523,0.13922553546359134,0.016615566810375133
B2M,module_6,1.5899692427818344,0.00185947485349749,Up,25,0.11464356965680218,0.16805123894852778,-0.1026168521674107
GPR62,module_6,2.0505144050931445,0.03445806235898599,Up,25,0.11130773783262596,0.13161199856909966,-0.17263480816480398
MARCKSL1,module_6,1.141539079699802,0.03423374801355049,Up,24,0.12536298404567608,0.1501429270048024,-0.29303644629181724
LMX1A,module_6,1.6671689227667252,0.0004858860358708418,Up,24,0.12014473606807913,0.14903245098846624,-0.4254235539127745
MS4A4A,module_6,4.005180660974288,0.014537196547529408,Up,24,0.11815481959163636,0.15945330795246826,-0.3626962881314132
STC2,module_6,-2.1281587905203216,0.04688115586311813,Down,24,0.11715627382131354,0.14910139546500742,0.0540382387684369
NPAS1,module_6,1.7343464082425761,0.040122672323533295,Up,24,0.11613489760441953,0.14442189104542985,0.16374888324191597
C4orf19,module_6,2.7047971751798343,0.03879535063218386,Up,24,0.11596211010064365,0.14681835069833585,-0.14078778776325185
