Gene,Module
ABCC4,module_6
CDKN1A,module_6
IGSF6,module_6
SF3B4,module_6
CDK2AP2,module_6
IRX5,module_6
RAMP2,module_6
RAMP1,module_6
RAMP3,module_6
ZMPSTE24,module_6
AKAP8,module_6
FSTL3,module_6
PTTG1IP2,module_6
TP53TG3E,module_6
TP53TG3F,module_6
SYT15B,module_6
MSANTD5,module_6
C7orf78,module_6
STUB1,module_6
STAG1,module_6
NET1,module_6
UBE4B,module_6
EFS,module_6
PRSS16,module_6
CDKN1C,module_6
TPTEP2-CSNK1E,module_6
BET1,module_6
CWC27,module_6
SAP18,module_6
SMNDC1,module_6
BCAS2,module_6
RGS19,module_6
LILRB2,module_2
EIF1B,module_6
CDKN2A,module_6
SPEG,module_6
SF3A1,module_6
TRAIP,module_6
DNAJA2,module_6
BCKDK,module_6
APC2,module_6
PAK4,module_6
CDKN2B,module_6
KATNB1,module_6
SNAPC5,module_6
ZNF267,module_6
CCNO,module_6
CDKN2C,module_6
VPS26C,module_6
TCIRG1,module_6
LANCL1,module_6
NMUR1,module_6
B3GALT5,module_6
TNIP1,module_6
LAMC3,module_6
IKZF1,module_6
CRISP3,module_6
SMYD5,module_6
KLHL41,module_6
RRAGB,module_6
SIRPB1,module_6
AKR1A1,module_6
EMC8,module_6
RXYLT1,module_6
CDKN3,module_6
CNPY2,module_6
B3GNT3,module_6
TLR6,module_6
IRAG1,module_6
TFG,module_6
PKDREJ,module_6
TRDN,module_6
TRIM22,module_6
ABCA7,module_6
ABCA10,module_6
ABCA9,module_6
ABCA8,module_6
WARS2,module_6
CDO1,module_6
NPM3,module_6
HMG20B,module_6
HMG20A,module_6
KLF2,module_6
CACNG3,module_6
CACNG2,module_6
CITED2,module_6
SEMA3A,module_6
TUBA1B,module_6
IRF9,module_6
BPNT1,module_6
TUBB3,module_6
TUBB4A,module_6
TUBB4B,module_6
BTN3A3,module_6
BTN2A2,module_6
SYCP2,module_6
SCML2,module_6
CDR2,module_6
CEPT1,module_6
CORO2B,module_6
MYL12B,module_6
NOD1,module_6
DLC1,module_6
ATP8A1,module_6
NDRG1,module_6
MYL9,module_6
RACK1,module_6
ADARB1,module_6
CDS1,module_6
PEMT,module_6
PIAS3,module_6
ST3GAL6,module_6
NDC80,module_6
CPQ,module_6
WFDC2,module_6
IFITM3,module_6
RAPGEF3,module_6
YAP1,module_6
SPON2,module_6
SPON1,module_6
PRMT5,module_6
TESK2,module_6
UBAC1,module_6
PGRMC2,module_6
ARIH2,module_6
SEC24B,module_1
CFDP1,module_6
TMEM147,module_6
RBM14,module_6
LYPLA1,module_6
CDC42EP2,module_6
EMG1,module_6
IFI30,module_6
C1D,module_6
TIMM17A,module_6
N4BP2L2,module_6
ZER1,module_6
MCRS1,module_6
LRRN2,module_6
FAM3C,module_6
ACAA2,module_6
PPIE,module_6
VAV3,module_6
TOMM40,module_6
TAB1,module_6
ECI2,module_6
HAX1,module_6
GPNMB,module_6
BAIAP2,module_6
MAD2L2,module_6
TACC3,module_6
MERTK,module_6
SLC30A9,module_6
PIBF1,module_6
COG5,module_6
ZNHIT1,module_6
FST,module_6
TIMM44,module_6
CLGN,module_6
PFDN6,module_6
ZBTB18,module_6
HMGN4,module_6
TRIM38,module_6
ATP5PD,module_6
SLC25A17,module_6
EIF3M,module_6
HOXB13,module_6
NXF1,module_6
SEC23B,module_6
CREB3,module_6
LRRC41,module_6
VTI1B,module_6
CRTAP,module_6
VAT1,module_6
STK25,module_6
ENOX2,module_6
UNC13B,module_6
CARM1,module_6
ADARB2,module_6
CEBPA,module_6
SEMA6C,module_6
SEMA6B,module_6
SEMA4F,module_6
SEMA4D,module_6
SEMA4B,module_6
CEBPB,module_6
SEMA3C,module_6
APPBP2,module_6
MYBBP1A,module_6
FBLN5,module_6
FBXW10,module_6
CIB2,module_6
CIB1,module_6
CEBPD,module_6
ZNF211,module_6
DDX17,module_6
DEAF1,module_6
CHERP,module_6
KAT5,module_6
IPO8,module_6
NOP56,module_6
NEBL,module_6
PITRM1,module_6
ATG7,module_6
ZNRD2,module_6
RNASEH2A,module_3
P3H3,module_6
UBD,module_6
PPIAL4H,module_6
ERVK3-1,module_6
PNMA6F,module_6
MARCOL,module_6
TMEM275,module_6
LRRC53,module_6
BATF,module_6
GLRX3,module_6
CEBPG,module_6
DCTN2,module_6
ANP32B,module_6
LAMTOR5,module_6
PROCR,module_6
TM9SF1,module_6
PRDX4,module_6
ARL6IP5,module_6
HTATIP2,module_6
AGPAT1,module_6
AGPAT2,module_6
RPP30,module_6
RPP38,module_6
SLC35A1,module_6
SLC19A2,module_6
IFI44,module_6
OLFM4,module_6
ARFGEF2,module_6
ARFGEF1,module_6
AKAP3,module_6
RABAC1,module_6
SLC34A2,module_6
SLU7,module_6
DPYSL4,module_6
SIVA1,module_6
MRPL28,module_6
CCT7,module_6
CCT4,module_6
CCT2,module_6
NPC2,module_6
GNLY,module_6
TACC2,module_6
SORBS1,module_6
IFITM2,module_6
COLEC10,module_6
POMT1,module_6
MAB21L2,module_6
TXNRD2,module_6
MTHFS,module_6
DRAP1,module_6
CENPB,module_6
SCGN,module_6
DNPH1,module_6
PRPF8,module_6
TRAPPC2B,module_6
AHSA1,module_6
USP16,module_6
CDC42EP3,module_3
SH2B2,module_6
PAIP1,module_6
PAICS,module_6
TBL3,module_6
MXD4,module_6
P3H4,module_6
ST6GALNAC2,module_6
PDLIM5,module_6
ERLIN1,module_6
SPAG5,module_6
RBCK1,module_6
STAMBP,module_6
CENPE,module_6
ARID3B,module_6
POLR3F,module_6
POLR3G,module_6
POLR3C,module_6
IVNS1ABP,module_6
TRIM16,module_6
MYL12A,module_6
TXNIP,module_6
TAF6L,module_3
CENPF,module_6
PDPN,module_6
POSTN,module_6
ATP5MG,module_6
RASL10A,module_6
GAS2L1,module_6
RAD51AP1,module_6
RGS14,module_6
LEFTY1,module_6
NPRL2,module_6
IGF2BP1,module_6
IGF2BP2,module_6
CAMKK2,module_6
SCGB1D2,module_6
PRELID3A,module_6
MTX2,module_6
YKT6,module_6
SPINT2,module_6
PMVK,module_6
DMRT2,module_6
KHDRBS3,module_6
KHDRBS1,module_6
CELF1,module_6
CELF2,module_6
TSBP1,module_6
CD226,module_6
FARS2,module_6
CGRRF1,module_6
CGREF1,module_6
RRAGA,module_6
GNA13,module_6
TNFSF13B,module_6
CSPG5,module_6
B3GNT2,module_6
CETN1,module_6
EBP,module_6
BUB1B-PAK6,module_6
DLL3,module_6
CLDN16,module_6
GET1-SH3BGR,module_6
PNMA2,module_6
CETN2,module_6
FUT9,module_6
GMEB1,module_6
RRH,module_6
CCT6B,module_6
CCT8,module_6
CNPY3,module_6
CORIN,module_6
ADCY1,module_6
CETN3,module_6
ENTREP3,module_6
USP39,module_6
POLD3,module_5
TBR1,module_6
AP4B1,module_6
NRG3,module_6
CFL1,module_6
UGT2B11,module_6
POLQ,module_6
SLC12A7,module_6
NUDC,module_6
PTGES3,module_6
BOLA2-SMG1P6,module_6
CFL2,module_6
TCFL5,module_6
PLK4,module_6
STAG3,module_6
STAG2,module_6
RFPL2,module_6
RBBP9,module_6
RAI2,module_6
RAI1,module_6
PTTG2,module_6
PHTF1,module_6
MAP3K2,module_6
MASP2,module_6
KIF1C,module_6
CTSC,module_6
CAPN9,module_6
GIPC1,module_6
TRAF3IP2,module_6
NUP50,module_6
NES,module_6
KDM5B,module_6
TOB2,module_6
HBS1L,module_6
AHCYL1,module_6
PLK2,module_6
ZMYND11,module_6
SRSF10,module_6
ZBTB6,module_6
POP4,module_6
ARPP21,module_6
ZNF234,module_6
ZNF266,module_6
ZNF274,module_6
NEK6,module_6
NCKAP1,module_6
IQGAP2,module_6
VAMP5,module_6
ZNF273,module_6
ZNF460,module_6
ZNF268,module_6
MTHFD2,module_6
UPK3BL2,module_6
SMIM38,module_6
LBHD2,module_6
MDFIC2,module_6
FAM237B,module_6
RPP40,module_6
ADCY2,module_6
CYSLTR1,module_6
SEPTIN9,module_6
SEC24A,module_6
CCR9,module_6
GJB6,module_6
SDCCAG8,module_6
ENTR1,module_6
HSPH1,module_6
STARD10,module_6
CGA,module_6
UTP14A,module_6
CPLX2,module_6
CPLX1,module_6
FRS3,module_6
FRS2,module_6
NEU3,module_6
FAXDC2,module_6
FAM114A2,module_6
ZNF275,module_6
ALDH1L1,module_6
FTCD,module_6
PPP1R17,module_6
TUBGCP2,module_6
CLPX,module_6
